Date,Close,High,Low,Open,Volume,PrevClose,Range,MA3,Target,Ticker
2025-01-02,243.26319885253906,248.5005651105234,241.23808511721737,248.3309608077005,55740700,,7.262479993306044,,242.7743682861328,AAPL
2025-01-03,242.7743682861328,243.5923870862029,241.3079045417172,242.7743682861328,40244100,243.26319885253906,2.284482544485712,,244.41041564941406,AAPL
2025-01-06,244.41041564941406,246.73481040856498,242.61474424512696,243.72207367593157,45045600,242.7743682861328,4.120066163438025,243.48266092936197,241.62713623046875,AAPL
2025-01-07,241.62713623046875,244.9590949760797,240.76920518354387,242.3952722906863,40856000,244.41041564941406,4.189889792535837,242.93730672200522,242.11593627929688,AAPL
2025-01-08,242.11593627929688,243.12351544341067,239.47231962725974,241.33781457710975,37628900,241.62713623046875,3.6511958161509313,242.71782938639322,236.280029296875,AAPL
2025-01-10,236.280029296875,239.58206138453855,232.4392881886217,239.4324132245663,61710900,242.11593627929688,7.1427731959168455,240.00770060221353,233.83592224121094,AAPL
2025-01-13,233.83592224121094,234.10527676213235,229.16719172961072,232.96802072299363,49630700,236.280029296875,4.938085032521627,237.41062927246094,232.71861267089844,AAPL
2025-01-14,232.71861267089844,235.55177458449063,231.9105643637605,234.1850763475817,39435300,233.83592224121094,3.6412102207301302,234.27818806966147,237.2975616455078,AAPL
2025-01-15,237.2975616455078,238.38495013235746,233.86583756026477,234.07533889356793,39832000,232.71861267089844,4.519112572092695,234.61736551920572,227.710693359375,AAPL
2025-01-16,227.710693359375,237.4372302632713,227.4812511099753,236.77883010316478,71759100,237.2975616455078,9.955979153296,232.57562255859375,229.4265594482422,AAPL
2025-01-17,229.4265594482422,231.73099810398455,227.93016912923343,231.5614090278119,68488300,227.710693359375,3.800828974751113,231.478271484375,222.10421752929688,AAPL
2025-01-21,222.10421752929688,223.87993275191027,218.85206818023312,223.46094530610958,98070400,229.4265594482422,5.027864571677156,226.41382344563803,223.29135131835938,AAPL
2025-01-22,223.29135131835938,223.58064673096774,219.26106511921876,219.26106511921876,64126500,222.10421752929688,4.319581611748987,224.94070943196616,223.1217803955078,AAPL
2025-01-23,223.1217803955078,226.4836658384098,221.76505253825962,224.19918327232872,60234800,223.29135131835938,4.718613300150167,222.83911641438803,222.24388122558594,AAPL
2025-01-24,222.24388122558594,225.08702882156655,220.877182986192,224.23906824814947,54697900,223.1217803955078,4.209845835374551,222.88567097981772,229.3068389892578,AAPL
2025-01-27,229.3068389892578,231.59132137138346,223.44098442848647,223.48089669223063,94863400,222.24388122558594,8.150336942896985,224.89083353678384,237.68663024902344,AAPL
2025-01-28,237.68663024902344,239.61199368769647,230.25456145518996,230.2944737209622,75707600,229.3068389892578,9.357432232506511,229.74578348795572,238.78399658203125,AAPL
2025-01-29,238.78399658203125,239.2827933650634,233.4468649147594,233.55660081590926,45486100,237.68663024902344,5.83592845030401,235.2591552734375,237.0182342529297,AAPL
2025-01-30,237.0182342529297,240.21053038482776,236.63915907674937,238.09563705158317,55658300,238.78399658203125,3.5713713080783975,237.82962036132812,235.4320831298828,AAPL
